variable,type,index
ME_M498,module,442
ME_M499,module,443
ME_M5,module,444
ME_M50,module,445
ME_M500,module,446
ME_M501,module,447
ME_M502,module,448
ME_M51,module,449
ME_M52,module,450
ME_M53,module,451
ME_M54,module,452
ME_M55,module,453
ME_M56,module,454
ME_M57,module,455
ME_M58,module,456
ME_M59,module,457
ME_M6,module,458
ME_M60,module,459
ME_M61,module,460
ME_M62,module,461
ME_M63,module,462
ME_M64,module,463
ME_M65,module,464
ME_M66,module,465
ME_M67,module,466
ME_M68,module,467
ME_M69,module,468
ME_M7,module,469
ME_M70,module,470
ME_M71,module,471
ME_M72,module,472
ME_M73,module,473
ME_M74,module,474
ME_M75,module,475
ME_M76,module,476
ME_M77,module,477
ME_M78,module,478
ME_M79,module,479
ME_M8,module,480
ME_M80,module,481
ME_M81,module,482
ME_M82,module,483
ME_M83,module,484
ME_M84,module,485
ME_M85,module,486
ME_M86,module,487
ME_M87,module,488
ME_M88,module,489
ME_M89,module,490
ME_M9,module,491
ME_M90,module,492
ME_M91,module,493
ME_M92,module,494
ME_M93,module,495
ME_M94,module,496
ME_M95,module,497
ME_M96,module,498
ME_M97,module,499
ME_M98,module,500
ME_M99,module,501
PHENO_fu_year,phenotype,502
PHENO_dcfdx,phenotype,503
PHENO_r_pd,phenotype,504
PHENO_r_stroke,phenotype,505
PHENO_cogn_ep,phenotype,506
PHENO_cogn_po,phenotype,507
PHENO_cogn_ps,phenotype,508
PHENO_cogn_se,phenotype,509
PHENO_cogn_wo,phenotype,510
PHENO_cogn_global,phenotype,511
PHENO_mem_trbl_tot,phenotype,512
PHENO_cts_estmmse30,phenotype,513
PHENO_age_at_visit,phenotype,514
PHENO_cesdsum,phenotype,515
PHENO_iadlsum,phenotype,516
PHENO_katzsum,phenotype,517
PHENO_rosbsum,phenotype,518
PHENO_late_life_cogact_freq,phenotype,519
PHENO_bmi,phenotype,520
PHENO_phys5itemsum,phenotype,521
PHENO_late_life_soc_act,phenotype,522
PHENO_soc_net,phenotype,523
PHENO_social_isolation,phenotype,524
PHENO_dbp_avg,phenotype,525
PHENO_hypertension_cum,phenotype,526
PHENO_sbp_avg,phenotype,527
PHENO_diabetes_sr_rx,phenotype,528
PHENO_claudication_cum,phenotype,529
PHENO_heart_cum,phenotype,530
PHENO_stroke_cum,phenotype,531
PHENO_vasc_3dis_sum,phenotype,532
PHENO_vasc_risks_sum,phenotype,533
PHENO_motor_dexterity,phenotype,534
PHENO_motor_gait,phenotype,535
PHENO_motor_handstreng,phenotype,536
PHENO_motor10,phenotype,537
PHENO_gaitsc,phenotype,538
PHENO_vision,phenotype,539
PHENO_purpose_total,phenotype,540
PHENO_satis1,phenotype,541
PHENO_satis2,phenotype,542
PHENO_satisfaction,phenotype,543
PHENO_timehoriz,phenotype,544
PHENO_wellbeing,phenotype,545
PHENO_apoe_genotype,phenotype,546
PHENO_age_first_ad_dx,phenotype,547
PHENO_cogdx,phenotype,548
PHENO_age_bl,phenotype,549
PHENO_age_death,phenotype,550
PHENO_educ,phenotype,551
PHENO_marital_now_bl,phenotype,552
PHENO_msex,phenotype,553
PHENO_race7,phenotype,554
PHENO_spanish,phenotype,555
PHENO_ldai_bl,phenotype,556
PHENO_smoking_bl,phenotype,557
PHENO_cancer_bl,phenotype,558
PHENO_headinjrloc_bl,phenotype,559
PHENO_med_con_sum_bl,phenotype,560
PHENO_thyroid_bl,phenotype,561
PHENO_a_score_st4,phenotype,562
PHENO_ad_adnc,phenotype,563
PHENO_adnc,phenotype,564
PHENO_b_score,phenotype,565
PHENO_braaksc,phenotype,566
PHENO_c_score,phenotype,567
PHENO_ceradsc,phenotype,568
PHENO_gpath,phenotype,569
PHENO_pmi,phenotype,570
PHENO_amylsqrt_est_8reg,phenotype,571
PHENO_hip_scl_yn_mid,phenotype,572
PHENO_lewydx_st4,phenotype,573
PHENO_tangsqrt_est_8reg,phenotype,574
PHENO_tdp_st4,phenotype,575
PHENO_arteriol_scler,phenotype,576
PHENO_caa_4gp,phenotype,577
PHENO_cvda_4gp2,phenotype,578
PHENO_ci_num2_gct,phenotype,579
PHENO_ci_num2_mct,phenotype,580
PHENO_early_hh_ses,phenotype,581
PHENO_income_bl,phenotype,582
PHENO_pseudotime,phenotype,583
PHENO_subtype,phenotype,584
PHENO_clusters,phenotype,585
PHENO_cogng_path_slope,phenotype,586
